Fecha,Modelo,Version,Precio,Kilometraje,Año,Potencia,Cambio,Combustible,Ciudad
31/05/2020,Audi A3,1.8 Turbo Attraction Aut.,1300,252.000,01/2001,110 kW (150 CV),Automático,Gasolina,09475 la vid
31/05/2020,Audi A3,1.9TDI Ambition,1300,368.000,01/2001,81 kW (110 CV),Manual,Diésel,50016 Zaragoza
31/05/2020,Audi A3,1.9TDI Ambiente,1400,274.000,08/1999,81 kW (110 CV),Manual,Diésel,28014 Madrid
31/05/2020,Audi A3,1.8 Turbo Attraction,1450,236.000,02/2001,110 kW (150 CV),Manual,Gasolina,08400 Barcelona
31/05/2020,Audi A3,1.8 Turbo Attraction,1490,273.000,05/1997,110 kW (150 CV),Manual,Gasolina,25006 lleida
31/05/2020,Audi A3,1.9 TDI/130 CV cat 3p. Ambiente,1500,220.000,09/2001,96 kW (131 CV),Manual,Diésel,08025 Barcelona
31/05/2020,Audi A3,1.9TDI Ambiente,1500,250.000,01/1999,81 kW (110 CV),Manual,Diésel,17834 porqueres
31/05/2020,Audi A3,1.6 Ambition,1500,189.445,01/2004,75 kW (102 CV),Manual,Gasolina,15010 A Coruña
31/05/2020,Audi A3,1.9TDI Ambition 130 CV color granate,1500,365.000,04/2003,96 kW (131 CV),Manual,Diésel,08040 Barcelona
31/05/2020,Audi A3,1.9 TDI Ambiente,1700,238.000,01/2000,81 kW (110 CV),Manual,Diésel,04740 Roquetas De Mar
31/05/2020,Audi A3,Ambition,1800,257.000,11/1997,66 kW (90 CV),Manual,Diésel,28100 Alcobendas
31/05/2020,Audi A3,1.9TDI Ambition,1800,307.000,02/2002,73 kW (99 CV),Manual,Diésel,28922 Alcorcon
31/05/2020,Audi A3,1.8 Ambiente,1800,290.000,07/2000,92 kW (125 CV),Manual,Gasolina,28017 Madrid
31/05/2020,Audi A3,1.8 Attraction,1800,217.000,10/1997,92 kW (125 CV),Manual,Gasolina,24410 Arganza
31/05/2020,Audi A3,1.8 T Ambiente quattro,1850,276.000,10/2001,110 kW (150 CV),Manual,Gasolina,15181 Cambre
31/05/2020,Audi A3,1.9TDI Ambition,1900,229.000,01/2000,81 kW (110 CV),Manual,Diésel,03204 Elche
31/05/2020,Audi A3,n/a,2000,265.000,07/2004,103 kW (140 CV),Manual,Diésel,28050 Valencia
31/05/2020,Audi A3,1.8 T Attraction quattro,2000,316.000,06/2000,110 kW (150 CV),Manual,Gasolina,18630 Otura
31/05/2020,Audi A3,1.8 Turbo Ambition,2000,190.000,10/2000,110 kW (150 CV),Manual,Gasolina,08360 Canet De Mar
31/05/2020,Audi A3,2.0TDI Ambition,2100,450.000,07/2004,103 kW (140 CV),Manual,Diésel,08700 Igualada
31/05/2020,Audi A3,1.9TDI Ambition 130,2100,305.000,02/2001,96 kW (131 CV),Manual,Diésel,23740 Andújar
31/05/2020,Audi A3,1.8 Turbo Ambition,2200,217.000,12/2002,110 kW (150 CV),Manual,Gasolina,08918 Badalona
31/05/2020,Audi A3,n/a,2250,180.000,06/2004,75 kW (102 CV),Manual,Gasolina,08027 Barcelona
31/05/2020,Audi A3,1.9TDI Ambition,2300,264.000,11/2001,73 kW (99 CV),Manual,Diésel,08921 barcelona
31/05/2020,Audi A3,1.9TDI Ambiente 130,2300,260.000,04/2001,96 kW (131 CV),Manual,Diésel,30510 Murcia
31/05/2020,Audi A3,2.0TDI Ambiente,2300,193.000,08/2004,103 kW (140 CV),Manual,Diésel,30165 murcia
31/05/2020,Audi A3,1.9TDI Ambition,2400,219.000,05/2003,77 kW (105 CV),Manual,Diésel,08720 Vilafranca Del Penedes
31/05/2020,Audi A3,n/a,2499,215.000,06/2004,103 kW (140 CV),Manual,Diésel,28400 Collado Villalba
31/05/2020,Audi A3,1.9TDI Ambition,2500,207.000,05/2001,81 kW (110 CV),Manual,Diésel,03803 Alcoy
31/05/2020,Audi A3,1.8 Ambition,2500,258.000,06/2000,92 kW (125 CV),Manual,Gasolina,28970 Humanes de Madrid
31/05/2020,Audi A3,Sportback 1.9TDI Ambition,2500,201.000,01/2005,77 kW (105 CV),Manual,Diésel,38300 La Orotava
31/05/2020,Audi A3,n/a,2500,246.000,07/2005,103 kW (140 CV),Manual,Gasolina,08912 Badalona
31/05/2020,Audi A3,n/a,2500,190.000,06/2005,77 kW (105 CV),Manual,Diésel,11130 Chiclana de la Frontera
31/05/2020,Audi A3,n/a,2500,280.000,06/2004,103 kW (140 CV),Manual,Diésel,18004 Granada
31/05/2020,Audi A3,n/a,2500,50.000,05/2002,96 kW (131 CV),Manual,Diésel,07184 Calviá
31/05/2020,Audi A3,1.9 TDI Ambiente,2550,283.000,07/1998,81 kW (110 CV),Manual,Diésel,28760 Tres Cantos
31/05/2020,Audi A3,n/a,2600,270.000,07/2006,103 kW (140 CV),Manual,Diésel,11207 Algeciras
31/05/2020,Audi A3,n/a,2600,210.000,06/2005,103 kW (140 CV),Manual,Diésel,46470 Catarroja
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente,2600,235.000,03/2005,103 kW (140 CV),Manual,Diésel,33192 Llanera
31/05/2020,Audi A3,1.6 Ambition,2600,307.000,05/2003,75 kW (102 CV),Manual,Gasolina,43001 tarragona
31/05/2020,Audi A3,n/a,2650,189.000,06/2004,103 kW (140 CV),Manual,Diésel,45850 La Villa de Don Fadrique
31/05/2020,Audi A3,n/a,2700,236.000,07/2005,110 kW (150 CV),Automático,Gasolina,28022 Valencia
31/05/2020,Audi A3,n/a,2700,195.000,07/2005,77 kW (105 CV),Manual,Diésel,08830 San Baudilio de Llobregat
31/05/2020,Audi A3,1.9 TDI Ambiente,2700,283.000,07/1998,81 kW (110 CV),Manual,Diésel,28760 Tres Cantos
31/05/2020,Audi A3,2.0TDI Ambiente DPF,2750,230.000,06/2005,103 kW (140 CV),Manual,Diésel,46500 Sagunto
31/05/2020,Audi A3,n/a,2800,242.000,05/2007,125 kW (170 CV),Manual,Diésel,46600 Alcira
31/05/2020,Audi A3,n/a,2800,255.000,06/2002,96 kW (131 CV),Manual,Diésel,08290 Cerdanyola del Vallès
31/05/2020,Audi A3,n/a,2800,310.000,06/2008,103 kW (140 CV),Manual,Diésel,48012 Bilbao
31/05/2020,Audi A3,n/a,2800,267.593,06/2005,77 kW (105 CV),Manual,Diésel,41006 Sevilla
31/05/2020,Audi A3,1.9TDI Ambition 130,2899,270.000,10/2002,96 kW (131 CV),Manual,Diésel,28320 Pinto
31/05/2020,Audi A3,1.8 Ambiente,2900,185.000,12/1998,92 kW (125 CV),Manual,Gasolina,08105 Sant Fost de Campsentelles
31/05/2020,Audi A3,2.0TDI Ambition,2900,203.998,07/2006,103 kW (140 CV),Manual,Diésel,18320 Santa Fe
31/05/2020,Audi A3,1.6 FSI Ambition,2900,220.000,04/2004,84 kW (114 CV),Manual,Gasolina,28055 28915
31/05/2020,Audi A3,1.8 Ambiente,2900,117.000,06/1999,92 kW (125 CV),Manual,Gasolina,08006 Barcelona
31/05/2020,Audi A3,n/a,2990,225.000,06/2004,103 kW (140 CV),Manual,Diésel,26005 Logroño
31/05/2020,Audi A3,1.9 tdi 130cv 6 velocidades,2990,189.000,07/2003,96 kW (131 CV),Manual,Diésel,08010 BARCELONA
31/05/2020,Audi A3,1.6 FSI Attraction,2999,209.500,05/2004,84 kW (114 CV),Manual,Gasolina,13260 Bolaños de Calatrava
31/05/2020,Audi A3,2.0TDI Ambition,3000,274.000,07/2005,103 kW (140 CV),Manual,Diésel,45313 yepes
31/05/2020,Audi A3,n/a,3000,200.000,07/2005,103 kW (140 CV),Automático,Diésel,28021 Barcelona
31/05/2020,Audi A3,n/a,3000,166.000,06/2004,105 kW (143 CV),Automático,Diésel,41011 Sevilla
31/05/2020,Audi A3,n/a,3000,219.000,08/2006,105 kW (143 CV),Manual,Diésel,30570 Barcelona
31/05/2020,Audi A3,1.8 Ambiente,3000,122.696,03/1998,92 kW (125 CV),Manual,Gasolina,08950 barcelona
31/05/2020,Audi A3,1.9TDI Ambition 130,3000,266.000,02/2003,96 kW (131 CV),Manual,Diésel,28300 Aranjuez
31/05/2020,Audi A3,1.9 TDI,3000,151.000,10/2003,74 kW (101 CV),Manual,Diésel,15300 Betanzos
31/05/2020,Audi A3,1.8 Attraction,3000,110.000,01/2002,92 kW (125 CV),Manual,Gasolina,28039 Madrid
31/05/2020,Audi A3,1.6 Ambiente,3100,211.000,01/2005,75 kW (102 CV),Manual,Gasolina,28037 Madrid
31/05/2020,Audi A3,n/a,3200,380.000,06/2004,103 kW (140 CV),Automático,Diésel,08001 Barcelona
31/05/2020,Audi A3,n/a,3200,173.500,08/2006,100 kW (136 CV),Automático,Diésel,08020 Barcelona
31/05/2020,Audi A3,1.9TDI Ambition 130,3200,197.000,01/2001,96 kW (131 CV),Manual,Diésel,29004 Málaga
31/05/2020,Audi A3,n/a,3290,156.000,08/2006,77 kW (105 CV),Manual,Diésel,28002 Barcelona
31/05/2020,Audi A3,n/a,3300,217.000,05/2007,77 kW (105 CV),Manual,Diésel,29016 Málaga
31/05/2020,Audi A3,n/a,3300,231.500,07/2010,77 kW (105 CV),Manual,Diésel,41008 Sevilla
31/05/2020,Audi A3,2.0 FSI Ambition,3350,184.000,12/2003,110 kW (150 CV),Manual,Gasolina,28100 Madrid
31/05/2020,Audi A3,Sportback 2.0TDI Ambiente,3400,158.000,08/2006,103 kW (140 CV),Manual,Diésel,31600 Burlada
