"","Version","Precio","Kilometraje","Año","Potencia","Cambio","Combustible","Ciudad","AnyTran"
"1","1.8 Turbo Attraction Aut.",1300,252000,2001-01-01,110,"A","G","09",19
"2","1.9TDI Ambition",1300,368000,2001-01-01,81,"M","D","50",19
"3","1.9TDI Ambiente",1400,274000,1999-08-01,81,"M","D","28",21
"4","1.8 Turbo Attraction",1450,236000,2001-02-01,110,"M","G","08",19
"5","1.8 Turbo Attraction",1490,273000,1997-05-01,110,"M","G","25",23
"6","1.9 TDI/130 CV cat 3p. Ambiente",1500,220000,2001-09-01,96,"M","D","08",19
"7","1.9TDI Ambiente",1500,250000,1999-01-01,81,"M","D","17",21
"8","1.6 Ambition",1500,189445,2004-01-01,75,"M","G","15",16
"9","1.9TDI Ambition 130 CV color granate",1500,365000,2003-04-01,96,"M","D","08",17
"10","1.9 TDI Ambiente",1700,238000,2000-01-01,81,"M","D","04",20
"11","Ambition",1800,257000,1997-11-01,66,"M","D","28",23
"12","1.9TDI Ambition",1800,307000,2002-02-01,73,"M","D","28",18
"13","1.8 Ambiente",1800,290000,2000-07-01,92,"M","G","28",20
"14","1.8 Attraction",1800,217000,1997-10-01,92,"M","G","24",23
"15","1.8 T Ambiente quattro",1850,276000,2001-10-01,110,"M","G","15",19
"16","1.9TDI Ambition",1900,229000,2000-01-01,81,"M","D","03",20
"17",NA,2000,265000,2004-07-01,103,"M","D","28",16
"18","1.8 T Attraction quattro",2000,316000,2000-06-01,110,"M","G","18",20
"19","1.8 Turbo Ambition",2000,190000,2000-10-01,110,"M","G","08",20
"20","2.0TDI Ambition",2100,450000,2004-07-01,103,"M","D","08",16
"21","1.9TDI Ambition 130",2100,305000,2001-02-01,96,"M","D","23",19
"22","1.8 Turbo Ambition",2200,217000,2002-12-01,110,"M","G","08",18
"23",NA,2250,180000,2004-06-01,75,"M","G","08",16
"24","1.9TDI Ambition",2300,264000,2001-11-01,73,"M","D","08",19
"25","1.9TDI Ambiente 130",2300,260000,2001-04-01,96,"M","D","30",19
"26","2.0TDI Ambiente",2300,193000,2004-08-01,103,"M","D","30",16
"27","1.9TDI Ambition",2400,219000,2003-05-01,77,"M","D","08",17
"28",NA,2499,215000,2004-06-01,103,"M","D","28",16
"29","1.9TDI Ambition",2500,207000,2001-05-01,81,"M","D","03",19
"30","1.8 Ambition",2500,258000,2000-06-01,92,"M","G","28",20
"31","Sportback 1.9TDI Ambition",2500,201000,2005-01-01,77,"M","D","38",15
"32",NA,2500,246000,2005-07-01,103,"M","G","08",15
"33",NA,2500,190000,2005-06-01,77,"M","D","11",15
"34",NA,2500,280000,2004-06-01,103,"M","D","18",16
"35",NA,2500,50000,2002-05-01,96,"M","D","07",18
"36","1.9 TDI Ambiente",2550,283000,1998-07-01,81,"M","D","28",22
"37",NA,2600,270000,2006-07-01,103,"M","D","11",14
"38",NA,2600,210000,2005-06-01,103,"M","D","46",15
"39","Sportback 2.0TDI Ambiente",2600,235000,2005-03-01,103,"M","D","33",15
"40","1.6 Ambition",2600,307000,2003-05-01,75,"M","G","43",17
"41",NA,2650,189000,2004-06-01,103,"M","D","45",16
"42",NA,2700,236000,2005-07-01,110,"A","G","28",15
"43",NA,2700,195000,2005-07-01,77,"M","D","08",15
"44","1.9 TDI Ambiente",2700,283000,1998-07-01,81,"M","D","28",22
"45","2.0TDI Ambiente DPF",2750,230000,2005-06-01,103,"M","D","46",15
"46",NA,2800,242000,2007-05-01,125,"M","D","46",13
"47",NA,2800,255000,2002-06-01,96,"M","D","08",18
"48",NA,2800,310000,2008-06-01,103,"M","D","48",12
"49",NA,2800,267593,2005-06-01,77,"M","D","41",15
"50","1.9TDI Ambition 130",2899,270000,2002-10-01,96,"M","D","28",18
"51","1.8 Ambiente",2900,185000,1998-12-01,92,"M","G","08",22
"52","2.0TDI Ambition",2900,203998,2006-07-01,103,"M","D","18",14
"53","1.6 FSI Ambition",2900,220000,2004-04-01,84,"M","G","28",16
"54","1.8 Ambiente",2900,117000,1999-06-01,92,"M","G","08",21
"55",NA,2990,225000,2004-06-01,103,"M","D","26",16
"56","1.9 tdi 130cv 6 velocidades",2990,189000,2003-07-01,96,"M","D","08",17
"57","1.6 FSI Attraction",2999,209500,2004-05-01,84,"M","G","13",16
"58","2.0TDI Ambition",3000,274000,2005-07-01,103,"M","D","45",15
"59",NA,3000,200000,2005-07-01,103,"A","D","28",15
"60",NA,3000,166000,2004-06-01,105,"A","D","41",16
"61",NA,3000,219000,2006-08-01,105,"M","D","30",14
"62","1.8 Ambiente",3000,122696,1998-03-01,92,"M","G","08",22
"63","1.9TDI Ambition 130",3000,266000,2003-02-01,96,"M","D","28",17
"64","1.9 TDI",3000,151000,2003-10-01,74,"M","D","15",17
"65","1.8 Attraction",3000,110000,2002-01-01,92,"M","G","28",18
"66","1.6 Ambiente",3100,211000,2005-01-01,75,"M","G","28",15
"67",NA,3200,380000,2004-06-01,103,"A","D","08",16
"68",NA,3200,173500,2006-08-01,100,"A","D","08",14
"69","1.9TDI Ambition 130",3200,197000,2001-01-01,96,"M","D","29",19
"70",NA,3290,156000,2006-08-01,77,"M","D","28",14
"71",NA,3300,217000,2007-05-01,77,"M","D","29",13
"72",NA,3300,231500,2010-07-01,77,"M","D","41",10
"73","2.0 FSI Ambition",3350,184000,2003-12-01,110,"M","G","28",17
"74","Sportback 2.0TDI Ambiente",3400,158000,2006-08-01,103,"M","D","31",14
"75",NA,3400,200000,2005-07-01,103,"M","D","41",15
"76","2.0TDI Ambition",3490,310000,2005-12-01,103,"M","D","08",15
"77","1.8 Ambition",3500,75000,1998-04-01,92,"M","G","08",22
"78",NA,3500,190000,2006-08-01,103,"A","D","06",14
"79",NA,3500,228000,2005-07-01,103,"M","D","41",15
"80",NA,3500,290000,2006-08-01,103,"M","D","01",14
"81",NA,3500,220000,2006-07-01,103,"M","D","23",14
"82","2.0TDI Ambition",3500,291000,2003-05-01,103,"M","D","28",17
"83","1.9TDI Attraction",3500,270000,2003-12-01,77,"M","D","12",17
"84","Sportback 2.0 FSI Ambition",3500,202000,2005-06-01,110,"M","G","50",15
"85","1.9TDI Ambiente quattro 130",3500,297000,2003-03-01,96,"M","D","25",17
"86","1.9TDI Ambition",3500,289000,2004-11-01,77,"M","D","17",16
"87",NA,3550,275000,2006-08-01,103,"M","D","28",14
"88","Sportback 2.0 FSI Ambiente S-Tronic",3600,250000,2005-10-01,110,"A","G","03",15
"89","1.6 FSI Ambition",3700,200000,2004-03-01,84,"M","G","08",16
"90",NA,3760,300000,2010-08-01,77,"M","D","20",10
"91",NA,3800,180000,2006-05-01,110,"M","G","48",14
"92",NA,3800,270000,2007-05-01,77,"M","D","03",13
"93","2.0TDI Ambiente",3800,186400,2007-11-01,103,"M","D","17",13
"94","1.9TDI Ambition",3800,160000,2004-10-01,77,"M","D","08",16
"95","2.0TDI Ambiente",3900,265000,2004-06-01,103,"M","D","10",16
"96","1.9TDI Ambition",3900,114000,2004-04-01,77,"M","D","28",16
"97","2.0TDI Ambition",3950,227000,2004-12-01,103,"M","D","08",16
"98","2.0 FSI Ambition",3950,178000,2004-03-01,110,"M","G","08",16
"99","2.0TDI Ambition",3990,205000,2005-10-01,103,"M","D","37",15
"100",NA,3990,268750,2004-07-01,105,"M","D","28",16
"101","1.6 Ambiente",3990,198000,2003-11-01,75,"M","G","24",17
"102","""S3"" Look TDI Quattro",3999,240000,2001-07-01,96,"M","D","31",19
"103","1.9TDI Ambiente",4000,239000,2007-04-01,77,"M","D","03",13
"104",NA,4000,128000,2006-07-01,103,"A","D","20",14
"105",NA,4000,170000,2005-07-01,103,"M","D","46",15
"106","2.0TDI Ambiente S-Tronic",4000,200000,2006-05-01,103,"A","D","21",14
"107",NA,4000,220000,2004-11-01,103,"A","D","08",16
"108","2.0TDI",4000,230000,2004-01-01,103,"M","D","29",16
"109","Sportback 1.9TDI Ambiente",4000,184000,2005-02-01,77,"M","D","28",15
"110","2.0TDI Ambition",4250,309000,2007-01-01,103,"M","D","36",13
"111","1.9TDI Ambiente",4250,175000,2005-07-01,77,"M","D","12",15
"112","2.0TDI Ambition",4295,245000,2004-09-01,103,"M","D","29",16
"113",NA,4300,251000,2007-05-01,103,"M","D","03",13
"114","2.0TDI Ambiente",4300,224400,2005-12-01,103,"M","D","08",15
"115",NA,4400,169000,2005-06-01,147,"M","G","31",15
"116","2.0TDI Ambition",4450,280000,2005-06-01,103,"M","D","33",15
"117","2.0 FSI Ambition",4500,205000,2005-06-01,110,"M","G","07",15
"118","Sportback 2.0TDI Ambition",4500,440000,2005-06-01,103,"M","D","28",15
"119","Sportback 2.0TDI Ambition",4500,305000,2006-05-01,103,"M","D","08",14
"120","2.0TDI Ambiente S-Tronic",4500,235000,2005-09-01,103,"A","D","04",15
"121","Sportback 2.0TDI Ambiente DPF",4500,233000,2006-12-01,103,"M","D","46",14
"122","2.0 TDi 16v Ambition S line DPF",4500,240000,2008-03-01,120,"M","D","28",12
"123","2.0 FSI Ambition (CAMBIO POR COCHE 5 PUERTAS)",4500,133000,2004-05-01,110,"M","G","28",16
"124","2.0TDI Ambiente",4600,146000,2004-01-01,103,"M","D","39",16
"125","2.0TDI Ambition DPF",4700,175000,2006-10-01,103,"M","D","08",14
"126","Sportback 2.0TDI Ambiente",4700,245000,2006-02-01,103,"M","D","23",14
"127",NA,4750,224000,2007-08-01,103,"M","D","46",13
"128","2.0TDI Ambition",4770,199999,2007-12-01,103,"M","D","03",13
"129",NA,4800,240000,2008-06-01,125,"M","D","08",12
"130","Sportback 2.0TDI Ambition DPF",4850,262000,2006-02-01,103,"M","D","50",14
"131","Sportback 1.6 FSI Attraction",4850,158000,2005-01-01,84,"M","G","34",15
"132",NA,4900,214000,2011-07-01,77,"M","D","08",9
"133",NA,4900,180000,2008-06-01,103,"M","D","33",12
"134",NA,4900,231000,2008-06-01,103,"A","D","20",12
"135","Sportback 1.9TDI Ambition",4900,230000,2005-10-01,77,"M","D","08",15
"136","1.9TDI Attraction",4900,173000,2005-02-01,77,"M","D","28",15
"137","2.0TDI Ambition",4900,231500,2004-01-01,103,"M","D","27",16
"138","1.4 TFSI Ambition",4900,160000,2008-03-01,92,"M","G","39",12
"139","2.0TDI Ambition",4950,203000,2006-06-01,103,"M","D","08",14
"140","2.0TDI Attraction DPF",4990,267000,2008-05-01,103,"M","D","50",12
"141","2.0TDI sportback 140cv",4999,175000,2007-04-01,103,"M","D","03",13
"142",NA,4999,211000,2006-08-01,147,"M","G","45",14
"143",NA,5000,230000,2005-07-01,103,"M","D","48",15
"144",NA,5000,115100,2004-06-01,184,"M","G","41",16
"145",NA,5000,158000,2007-08-01,147,"M","G","23",13
"146","Sportback 1.6 Attraction",5000,114000,2006-01-01,75,"M","G","11",14
"147","Sportback 2.0 FSI Ambiente",5000,250000,2005-02-01,110,"M","G","46",15
"148","Sportback 2.0 FSI Ambition",5000,250000,2005-03-01,110,"M","G","46",15
"149","2.0TDI Ambition",5250,194500,2007-06-01,103,"M","D","01",13
"150","1.6TDI Attraction",5300,231500,2010-04-01,77,"M","D","37",10
"151","Sportback 2.0TDI Ambition",5495,225000,2006-03-01,103,"M","D","08",14
"152","2.0 TDI F.AP. Ambition",5500,280000,2010-10-01,103,"M","D","08",10
"153","2.0 FSI Ambition",5500,138000,2003-10-01,110,"M","G","08",17
"154","1.9TDI Ambition DPF S-Tronic",5500,202000,2008-02-01,77,"A","D","21",12
"155","Sportback 2.0TDI Ambiente",5500,206000,2008-09-01,103,"M","D","08",12
"156","Sportback 1.9TDI Ambition",5600,266000,2006-04-01,77,"M","D","29",14
"157","Sportback 2.0TDI Attraction",5700,157200,2007-04-01,103,"M","D","02",13
"158","Sportback 2.0TDI Attraction S-T",5779,207000,2006-01-01,103,"A","D","28",14
"159","1.4 TFSI Ambiente S-Tronic",5800,135000,2008-10-01,92,"A","G","30",12
"160","1.4 TFSI Ambiente S-Tronic",5800,134500,2008-08-01,92,"A","G","30",12
"161","Sportback 2.0TDI Ambiente quattro",5800,176000,2006-03-01,103,"M","D","46",14
"162","Sportback 2.0TDI Ambition",5800,189000,2005-04-01,103,"M","D","08",15
"163","1.9 TDI Sportback DPF Ambition",5800,192500,2008-02-01,77,"M","D","29",12
"164","1.6 FSI Ambition",5800,99000,2006-12-01,84,"M","G","08",14
"165","2.0 TDI Sportback DPF Ambition",5850,206000,2007-08-01,103,"M","D","29",13
"166","1.6TDI Attraction",5900,182000,2010-01-01,77,"M","D","28",10
