Modelo-Tipo;Período comercial;cilindrada;cilindros;combustible;potencia Kwh;CVF;potencia CV;precio medio 2020
80 1.9 TDi;1990-1995;1898;4;D;66;12,91;90;14300
80 2.0 E;1991-1995;1984;4;G;85;13,26;116;12600
80 2.0 16v/Quattro;1991-1995;1984;4;G;103;13,26;140;16000
80 2.3 E A.A.;1991-1995;2309;5;G;98;15,88;133;15600
80 2.6 E A.A.;1991-1995;2598;6;G;110;18,33;150;16500
80 2.6 E Aut A.A.;1991-1995;2598;6;G;110;18,33;150;17900
80 2.6 Quattro;1991-1995;2598;6;G;110;18,33;150;20200
80 2.8 E V6 A.A.;1991-1995;2771;6;G;128;19,05;174;19300
80 2.8 E V6 Quattro A.A.;1991-1995;2771;6;G;128;19,05;174;21200
80 AVANT 1.9 TDI;1993-1995;1896;4;D;66;12,9;90;16200
80 AVANT 2.6;1993-1995;2598;6;G;110;18,33;150;18200
80 AVANT 2.6 Quattro;1993-1995;2598;6;G;110;18,33;150;20200
80 AVANT RS2 2.2;1993-1995;2226;5;G;233;15,53;316;41400
80 AVANT S2 2.2;1993-1995;2226;5;G;169;15,53;230;29100
100 2.3;1991-1994;2309;5;G;98;15,88;133;17100
100 2.5 TDI;1992-1994;2461;5;D;85;16,49;116;20900
100 2.6 V6;1991-1994;2598;6;G;110;18,33;150;18500
100 2.6 V6 Quattro;1991-1994;2598;6;G;110;18,33;150;20600
100 2.8;1991-1994;2771;6;G;128;19,05;174;21400
100 2.8 Quattro;1991-1994;2771;6;G;128;19,05;174;23500
100 AVANT 2.5 TDI;1992-1994;2461;5;D;85;16,49;116;21000
100 AVANT 2.6;1992-1994;2598;6;G;110;18,33;150;20300
100 AVANT 2.6 Quattro;1992-1994;2598;6;G;110;18,33;150;22300
100 S4 2.2;1991-1994;2226;6;G;169;16,71;230;31700
100 S4 4.2;1991-1994;4172;8;G;206;27,32;280;37300
A1 1.0 TFSI Active Kit;2015-;999;3;G;70;7,83;95;16200
A1 1.0 TFSI Active Kit S Tronic;2015-;999;3;G;70;7,83;95;17800
A1 1.0 TFSI Adrenalin;2015-;999;3;G;70;7,83;95;15600
A1 1.0 TFSI Adrenalin S Tronic;2015-;999;3;G;70;7,83;95;17100
A1 1.0 TFSI Adrenalin2;2015-;999;3;G;70;7,83;95;19200
A1 1.0 TFSI Adrenalin2 S Tronic;2015-;999;3;G;70;7,83;95;19200
A1 1.0 TFSI Attracted;2015-;999;3;G;70;7,83;95;14900
A1 1.0 TFSI Attracted S Tronic;2015-;999;3;G;70;7,83;95;16400
A1 1.0 TFSI Attraction;2015-;999;3;G;70;7,83;95;14000
A1 1.0 TFSI Attraction S Tronic;2015-;999;3;G;70;7,83;95;15500
A1 1.0 TFSI Design;2015-;999;3;G;70;7,83;95;15900
A1 1.0 TFSI Design S Tronic;2015-;999;3;G;70;7,83;95;17300
A1 1.2 TFSI Adrenalin;2010-2014;1197;4;G;63;9,79;86;13200
A1 1.2 TFSI Adrenalin2;2010-2014;1197;4;G;63;9,79;86;16000
A1 1.2 TFSI Ambition;2010-2014;1197;4;G;63;9,79;86;14100
A1 1.2 TFSI Attracted;2010-2014;1197;4;G;63;9,79;86;14000
A1 1.2 TFSI Attraction;2010-2014;1197;4;G;63;9,79;86;12000
A1 1.2 TFSI Kult;2010-2014;1197;4;G;63;9,79;86;13100
A1 1.4 TFSI Adrenalin2;2010-2014;1390;4;G;90;10,71;122;18400
A1 1.4 TFSI Adrenalin2 S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;19100
A1 1.4 TFSI Adrenalin2 S-T;2010-2014;1390;4;G;90;10,71;122;19900
A1 1.4 TFSI Ambition;2010-2014;1390;4;G;90;10,71;122;16400
A1 1.4 TFSI Ambition S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;17000
A1 1.4 TFSI Ambition S-T;2010-2014;1390;4;G;90;10,71;122;18100
A1 1.4 TFSI Attraction;2010-2014;1390;4;G;90;10,71;122;14200
A1 1.4 TFSI Attraction S-T 119CO2;2010-2014;1390;4;G;90;10,71;122;15000
A1 1.4 TFSI Attraction S-T;2010-2014;1390;4;G;90;10,71;122;15800
A1 1.4 TFSI Adrenalin2 S-T 185;2010-2014;1390;4;G;136;10,71;185;23100
A1 1.4 TFSI Ambition S-T 185;2010-2014;1390;4;G;136;10,71;185;21200
A1 1.4 TFSI CoD Adrenalin2 140;2010-2014;1395;4;G;103;10,73;140;18600
A1 1.4 TFSI CoD Adrenalin2 S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;20000
A1 1.4 TFSI CoD Ambition 140;2010-2014;1395;4;G;103;10,73;140;17400
A1 1.4 TFSI CoD Ambition S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;18800
A1 1.4 TFSI CoD Attraction 140;2010-2014;1395;4;G;103;10,73;140;15400
A1 1.4 TFSI CoD Attraction S-Tronic 140;2010-2014;1395;4;G;103;10,73;140;16800
A1 1.0 TFSI Active Kit 125;2015-;1395;4;G;92;10,73;125;18300
A1 1.0 TFSI Active Kit S Tronic 125;2015-;1395;4;G;92;10,73;125;19800
A1 1.4 TFSI Adrenalin 125;2015-;1395;4;G;92;10,73;125;17600
A1 1.4 TFSI Adrenalin S Tronic 125;2015-;1395;4;G;92;10,73;125;19200
A1 1.4 TFSI Adrenalin2 125;2015-;1395;4;G;92;10,73;125;19200
A1 1.4 TFSI Adrenalin2 S Tronic 125;2015-;1395;4;G;92;10,73;125;20800
A1 1.4 TFSI Attraction 125;2015-;1395;4;G;92;10,73;125;16000
A1 1.4 TFSI Attraction S Tronic 125;2015-;1395;4;G;92;10,73;125;17400
A1 1.4 TFSI Design 125;2015-;1395;4;G;92;10,73;125;17800
A1 1.4 TFSI Design S Tronic 125;2015-;1395;4;G;92;10,73;125;19300
A1 1.4 TFSI CoD Active Kit 150;2015-;1395;4;G;110;10,73;150;19500
A1 1.4 TFSI CoD Active Kit S Tronic 150;2015-;1395;4;G;110;10,73;150;21100
A1 1.4 TFSI CoD Adrenalin 150;2015-;1395;4;G;110;10,73;150;18900
A1 1.4 TFSI CoD Adrenalin S Tronic 150;2015-;1395;4;G;110;10,73;150;20400
A1 1.4 TFSI CoD Adrenalin2 150;2015-;1395;4;G;110;10,73;150;20500
A1 1.4 TFSI CoD Adrenalin2 S Tronic 150;2015-;1395;4;G;110;10,73;150;22000
A1 1.4 TFSI CoD Attraction 150;2015-;1395;4;G;110;10,73;150;17100
A1 1.4 TFSI CoD Attraction S Tronic 150;2015-;1395;4;G;110;10,73;150;18600
A1 1.4 TFSI CoD Design 150;2015-;1395;4;G;110;10,73;150;19000
A1 1.4 TFSI CoD Design S Tronic 150;2015-;1395;4;G;110;10,73;150;20400
A1 1.4 TDI Active Kit;2015-;1422;3;D;66;9,68;90;18500
A1 1.4 TDI Active Kit S Tronic;2015-;1422;3;D;66;9,68;90;20100
A1 1.4 TDI Adrenalin;2015-;1422;3;D;66;9,68;90;18100
A1 1.4 TDI Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;19700
A1 1.4 TDI Adrenalin2;2015-;1422;3;D;66;9,68;90;19800
A1 1.4 TDI Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;21400
A1 1.4 TDI Attracted;2015-;1422;3;D;66;9,68;90;17400
A1 1.4 TDI Attracted S Tronic;2015-;1422;3;D;66;9,68;90;19000
A1 1.4 TDI Attraction;2015-;1422;3;D;66;9,68;90;16300
A1 1.4 TDI Attraction S Tronic;2015-;1422;3;D;66;9,68;90;17900
A1 1.4 TDI Design;2015-;1422;3;D;66;9,68;90;18300
A1 1.4 TDI Design S Tronic;2015-;1422;3;D;66;9,68;90;19900
A1 1.4 TDI ultra Adrenalin;2015-;1422;3;D;66;9,68;90;17800
A1 1.4 TDI ultra Adrenalin S Tronic;2015-;1422;3;D;66;9,68;90;19500
A1 1.4 TDI ultra Adrenalin2;2015-;1422;3;D;66;9,68;90;19500
A1 1.4 TDI ultra Adrenalin2 S Tronic;2015-;1422;3;D;66;9,68;90;21100
A1 1.4 TDI ultra Attracted;2015-;1422;3;D;66;9,68;90;17100
A1 1.4 TDI ultra Attracted S Tronic;2015-;1422;3;D;66;9,68;90;18800
A1 1.4 TDI ultra Attraction;2015-;1422;3;D;66;9,68;90;16100
A1 1.4 TDI ultra Attraction S Tronic;2015-;1422;3;D;66;9,68;90;17600
A1 1.4 TDI ultra Design;2015-;1422;3;D;66;9,68;90;18100
A1 1.4 TDI ultra Design S Tronic;2015-;1422;3;D;66;9,68;90;19600
A1 1.6 TDI Adrenalin 90;2010-2014;1598;4;D;66;11,64;90;15200
A1 1.6 TDI Adrenalin2 90;2010-2014;1598;4;D;66;11,64;90;18100
A1 1.6 TDI Ambition 90;2010-2014;1598;4;D;66;11,64;90;14000
A1 1.6 TDI Attracted 90;2010-2014;1598;4;D;66;11,64;90;16000
A1 1.6 TDI Attraction 90;2010-2014;1598;4;D;66;11,64;90;14000
A1 1.6 TDI Adrenalin S-T 90;2010-2014;1598;4;D;66;11,64;90;16700
A1 1.6 TDI Adrenalin2 S-T 90;2010-2014;1598;4;D;66;11,64;90;19500
A1 1.6 TDI Ambition S-T 90;2010-2014;1598;4;D;66;11,64;90;17700
A1 1.6 TDI Attracted S-T 90;2010-2014;1598;4;D;66;11,64;90;17500
A1 1.6 TDI Attraction S-T 90;2010-2014;1598;4;D;66;11,64;90;15500
A1 1.6 TDI Adrenalin2;2010-2014;1598;4;D;77;11,64;105;18900
A1 1.6 TDI Ambition;2010-2014;1598;4;D;77;11,64;105;16800
A1 1.6 TDI Attraction;2010-2014;1598;4;D;77;11,64;105;14600
A1 1.6 TDI Active Kit;2015-;1598;4;D;85;11,64;116;19700
A1 1.6 TDI Active Kit S Tronic;2015-;1598;4;D;85;11,64;116;21300
A1 1.6 TDI Adrenalin;2015-;1598;4;D;85;11,64;116;19000
A1 1.6 TDI Adrenalin S Tronic;2015-;1598;4;D;85;11,64;116;20600
A1 1.6 TDI Adrenalin2;2015-;1598;4;D;85;11,64;116;20700
